Family Species Size Temperature NPP Aridity pH
Porcellionidae Porcellio yemenensis 1.079 22.1 10.59 0.06 8.0 
Porcellionidae Porcellionides attarum 0.845 12.8 11.40 0.62 7.0 
Porcellionidae Porcellionides cilicius 0.991 17.2 11.30 0.50 7.0 
Porcellionidae Porcellionides cingendus 0.929 11.8 11.51 1.23 6.0
Porcellionidae Porcellionides delattini 0.903 12.0 11.28 0.56 7.0 
Porcellionidae Porcellionides depressiorum 0.813 12.4 11.11 0.50 6.7 
Porcellionidae Porcellionides divergens 0.875 19.1 11.42 0.56 7.2 
Porcellionidae Porcellionides floria 0.978 18.9 11.57 0.44 7.0 
Porcellionidae Porcellionides kosswigi 1.000 19.5 10.48 0.07 7.6 
Porcellionidae Porcellionides myrmecophilus 0.929 15.0 11.41 0.60 7.0 
Porcellionidae Porcellionides sexfasciatus 1.215 16.8 11.39 0.59 7.0 
Porcellionidae Porcellionides tingitanus 1.176 16.2 10.91 0.20 7.0
Porcellionidae Proporcellio corticicolus 0.778 10.7 11.46 0.80 7.0 
Porcellionidae Proporcellio vulcanius 0.799 19.4 10.67 0.15 8.0 
Porcellionidae Soteriscus fuscovariegatus 1.146 16.3 11.32 0.52 7.0 
Porcellionidae Soteriscus gaditanus 1.255 16.5 10.99 0.23 7.0 
Trichoniscidae Anatoliscus longicornis 0.477 9.6 11.11 0.40 8.0 
Trichoniscidae Androniscus calcivagus 0.720 10.4 11.52 0.91 6.5 
Trichoniscidae Androniscus dentiger 0.845 10.1 11.47 0.94 6.0 
Trichoniscidae Androniscus roseus 0.519 9.8 11.50 1.01 6.0 
Trichoniscidae Buddelundiella cataractae 0.204 7.9 11.39 0.99 6.0 
Trichoniscidae Buddelundiella serbani 0.398 10.0 11.59 0.65 5.6 
Trichoniscidae Buddelundiella zimmeri 0.602 10.7 11.59 0.91 6.5 
Trichoniscidae Calconiscellus bertkaui 0.653 4.2 11.50 1.62 6.0 
Trichoniscidae Calconiscellus gottscheensis 0.720 9.1 11.58 1.49 5.9 
Trichoniscidae Calconiscellus karawankianus 0.699 10.3 11.49 0.64 7.0 
Trichoniscidae Cylindroniscus seurati 0.398 25.5 11.83 0.78 6.0 
Trichoniscidae Cyphotendana dalmazzensis 0.602 10.7 11.51 0.91 7.2 
Trichoniscidae Graeconiscus thermophilus 0.602 14.4 11.36 0.59 7.0 
Trichoniscidae Haplophthalmus apuanus 0.477 12.5 11.52 0.92 7.0 
Trichoniscidae Haplophthalmus banaticus 0.301 9.6 11.50 0.68 6.0 
Trichoniscidae Haplophthalmus bonadonai 0.544 11.9 11.59 0.91 6.0 
Trichoniscidae Haplophthalmus dalmaticus 0.380 10.7 11.63 1.09 5.5 
Trichoniscidae Haplophthalmus danicus 0.602 8.7 11.43 0.94 6.0 
Trichoniscidae Haplophthalmus gibbus 0.653 11.7 11.56 0.91 6.0 
Trichoniscidae Haplophthalmus hungaricus 0.477 10.0 11.49 0.64 7.0 
Trichoniscidae Haplophthalmus kosswigi 0.568 9.9 11.56 0.72 7.0 
Trichoniscidae Haplophthalmus ligurinus 0.544 7.9 11.50 0.91 6.0 
Trichoniscidae Haplophthalmus medius 0.447 9.6 11.50 0.68 6.0 
Trichoniscidae Haplophthalmus mengii 0.602 10.4 11.41 0.65 7.0 
Trichoniscidae Haplophthalmus meridionalis 0.602 12.3 11.59 0.91 6.0 
Trichoniscidae Haplophthalmus montivagus 0.431 9.7 11.53 0.93 6.0 
Trichoniscidae Haplophthalmus movilae 0.362 11.0 11.33 0.48 7.8 
Trichoniscidae Haplophthalmus napocensis 0.362 9.6 11.50 0.68 6.0 
Trichoniscidae Haplophthalmus orientalis 0.544 9.6 11.50 0.68 6.0 
Trichoniscidae Haplophthalmus provincialis 0.477 12.5 11.61 0.86 6.5 
Trichoniscidae Haplophthalmus teissieri 0.477 11.0 11.56 0.96 6.5 
Trichoniscidae Haplophthalmus tismanicus 0.544 9.6 11.50 0.68 6.0 
Trichoniscidae Haplophthalmus transiens 0.602 12.7 11.51 0.73 7.0 
Trichoniscidae Helenoniscus prenanti 0.556 12.5 11.56 0.83 5.5 
Trichoniscidae Hyloniscus adonis 0.978 8.7 11.50 1.29 6.0 
Trichoniscidae Hyloniscus beckeri 0.845 11.3 11.46 1.12 7.0 
Trichoniscidae Hyloniscus crassicornis 0.813 10.5 11.51 0.66 7.0 
Trichoniscidae Hyloniscus dacicus 0.602 9.6 11.50 0.68 6.0 
Trichoniscidae Hyloniscus flammula 0.653 10.8 11.50 0.64 7.0 
Trichoniscidae Hyloniscus flammuloides 0.580 9.6 11.50 0.68 6.0 
Trichoniscidae Hyloniscus inflatus 0.813 9.6 11.50 0.68 6.0 
Trichoniscidae Hyloniscus marginalis 0.903 9.2 11.57 0.89 6.0 
Trichoniscidae Hyloniscus mariae 0.845 8.7 11.47 0.71 6.0
Trichoniscidae Hyloniscus motasi 0.602 9.6 11.50 0.68 6.0 
Trichoniscidae Hyloniscus pilifer 0.875 8.4 11.52 1.03 7.0 
Trichoniscidae Hyloniscus pugionum 0.845 10.8 11.50 0.64 7.0 
Trichoniscidae Hyloniscus refugiorum 0.903 13.2 11.59 0.86 7.0 
Trichoniscidae Hyloniscus riparius 0.903 8.3 11.45 0.80 6.0 
Trichoniscidae Hyloniscus siculus 0.875 9.6 11.50 0.68 6.0 
Trichoniscidae Hyloniscus taborskyi 0.934 10.8 11.50 0.64 7.0 
Trichoniscidae Hyloniscus transsilvanicus 0.903 9.9 11.49 0.66 7.0 
Trichoniscidae Hyloniscus travnicensis 0.699 8.2 11.60 0.98 5.8 
Trichoniscidae Hyloniscus vividus 0.813 10.1 11.52 0.70 7.0 
Trichoniscidae Macedonethes stankoi 1.196 11.3 11.50 0.46 7.2 
Trichoniscidae Metatrichoniscoides fouresi 0.398 12.5 11.56 0.83 5.5 
Trichoniscidae Metatrichoniscoides leydigii 0.398 9.5 11.46 1.13 6.0 
Trichoniscidae Metatrichoniscoides nemausiensis 0.301 12.3 11.59 0.91 6.0
Trichoniscidae Miktoniscus patiencei 0.431 10.3 11.42 0.97 6.0 
Trichoniscidae Miktoniscus vandeli 0.544 10.7 11.51 0.91 7.0 
Trichoniscidae Monocyphoniscus bulgaricus 0.623 10.8 11.50 0.64 7.0 
Trichoniscidae Nesiotoniscus delamarei 0.342 14.3 11.33 0.53 8.0 
Trichoniscidae Nesiotoniscus harpagonifer 0.301 14.0 11.65 0.80 6.6 
Trichoniscidae Nesiotoniscus racovitzai 0.477 9.1 11.63 1.52 5.6 
Trichoniscidae Oritoniscus bonadonai 0.778 10.2 11.56 0.90 6.0 
Trichoniscidae Oritoniscus bonneti 0.301 10.7 11.51 0.91 7.2 
Trichoniscidae Oritoniscus delmasi 0.544 10.0 11.59 1.09 6.4 
Trichoniscidae Oritoniscus despaxi 0.602 12.5 11.54 0.83 7.0 
Trichoniscidae Oritoniscus eremitus 0.653 12.3 11.63 0.93 4.6 
Trichoniscidae Oritoniscus flavus 0.845 12.5 11.50 0.81 6.0 
Trichoniscidae Oritoniscus fouresi 0.699 12.5 11.56 0.83 5.5 
Trichoniscidae Oritoniscus henrici 0.477 12.5 11.49 0.81 7.7 
Trichoniscidae Oritoniscus intermedius 0.778 12.5 11.56 0.83 5.5 
Trichoniscidae Oritoniscus notabilis 0.602 12.5 11.56 0.83 5.5 
Trichoniscidae Oritoniscus paganus 0.643 9.1 11.63 1.52 5.6 
Trichoniscidae Oritoniscus pyrenaeus 0.875 12.4 11.50 0.87 7.0 
Trichoniscidae Oritoniscus ribauti 0.602 12.5 11.56 0.83 5.5 
Trichoniscidae Oritoniscus trajani 0.477 12.5 11.56 0.83 5.5 
Trichoniscidae Oritoniscus vandeli 0.544 12.0 11.58 0.92 6.0 
Trichoniscidae Oritoniscus violaceus 0.875 12.5 11.56 0.83 5.5 
Trichoniscidae Phymatoniscus propinquus 0.778 10.7 11.59 0.91 7.0 
Trichoniscidae Tachysoniscus austriacus 0.699 10.1 11.49 0.73 7.0 
Trichoniscidae Thaumatoniscellus orghidani 0.114 9.6 11.50 0.68 6.0 
Trichoniscidae Trichoniscoides albidus 0.653 8.7 11.39 1.13 6.0 
Trichoniscidae Trichoniscoides consoranensis 0.301 12.3 11.59 0.91 6.0 
Trichoniscidae Trichoniscoides helveticus 0.699 8.7 11.48 1.15 6.0 
Trichoniscidae Trichoniscoides heroldi 0.602 9.7 11.59 1.09 6.0 
Trichoniscidae Trichoniscoides modestus 0.653 12.5 11.56 0.83 5.5
Trichoniscidae Trichoniscoides pulchellus 0.398 9.3 11.59 1.36 7.0
Trichoniscidae Trichoniscoides remyi 0.477 10.0 11.59 1.09 6.4 
Trichoniscidae Trichoniscoides saeroeensis 0.447 7.8 11.34 1.13 6.0 
Trichoniscidae Trichoniscoides sarsi 0.477 7.5 11.33 1.13 6.0 
Trichoniscidae Trichoniscus alemannicus 0.602 7.6 11.59 1.53 6.0 Trichoniscidae Trichoniscus apenninicus 0.740 14.0 11.65 0.80 6.6 Trichoniscidae Trichoniscus biformatus 0.602 12.5 11.50 0.91 7.0 Trichoniscidae Trichoniscus bulgaricus 0.398 11.1 11.48 0.55 7.0 Trichoniscidae Trichoniscus bureschi 0.477 11.3 11.45 0.64 8.0 Trichoniscidae Trichoniscus carpaticus 0.431 7.4 11.54 0.76 6.0 Trichoniscidae Trichoniscus fragilis 0.613 14.0 11.43 0.69 7.0 Trichoniscidae Trichoniscus gachassini 0.720 16.8 11.31 0.51 8.0 Trichoniscidae Trichoniscus garevi 0.602 11.3 11.45 0.64 8.0 Trichoniscidae Trichoniscus gordoni 0.398 16.6 11.08 0.39 7.5 Trichoniscidae Trichoniscus halophilus 0.301 12.8 11.58 0.92 7.0 Trichoniscidae Trichoniscus lindbergi 0.653 13.8 11.24 1.03 7.0 Trichoniscidae Trichoniscus muscivagus 0.544 6.1 11.48 1.31 6.0 Trichoniscidae Trichoniscus nivatus 0.544 3.8 11.50 1.89 6.0 Trichoniscidae Trichoniscus noricus 0.633 9.6 11.49 0.70 6.5 Trichoniscidae Trichoniscus oedipus 0.602 14.3 11.08 0.51 7.0 Trichoniscidae Trichoniscus pancici 0.439 10.2 11.55 0.80 6.2 Trichoniscidae Trichoniscus pedronensis 0.602 9.1 11.63 1.52 5.6 Trichoniscidae Trichoniscus petrovi 0.462 10.8 11.50 0.64 7.0 Trichoniscidae Trichoniscus provisorius 0.574 9.2 11.40 0.81 6.0 Trichoniscidae Trichoniscus pusillus 0.602 10.1 11.49 0.97 6.0 Trichoniscidae Trichoniscus pygmaeus 0.398 8.0 11.38 0.98 6.0 Trichoniscidae Trichoniscus raitchevi 0.322 11.1 11.48 0.55 7.0 Trichoniscidae Trichoniscus scheerpeltzi 0.477 4.3 11.48 1.47 6.0 Trichoniscidae Trichoniscus semigranulatus 0.653 7.9 11.54 0.64 6.5 Trichoniscidae Trichoniscus simplicifrons 0.398 12.5 11.58 0.93 7.0 Trichoniscidae Trichoniscus steinboecki 0.477 9.1 11.48 0.77 6.5 Trichoniscidae Trichoniscus stoevi 0.505 10.7 11.53 0.67 7.1 Trichoniscidae Trichoniscus styricus 0.633 9.1 11.48 0.77 7.0
